unofficial_name,category,fluid,unit,truth,raw_predicted,predicted,match_type,affected_rows,error
Гранули,Гематологія,Асцит,%,Гранулоцити/Лейкоцити в перитонеальній рідині.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,6,
ХСЛПВ,Хімія,Кров,Ratio,Холестерин.загальний/Холестерин у ЛПВЩ [Перцентиль],Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,6,
Загальний,Хімія,Кров,Ratio,Холестерин.загальний/Холестерин у ЛПВЩ [Перцентиль],Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,6,
Хол,Хімія,Кров,Ratio,Холестерин.загальний/Холестерин у ЛПВЩ [Перцентиль],Хімія,(no_match),no_match,6,
L-тироксин,Хімія,Кров,ug/dL,Тироксин (T4) [Маса/об’єм] у сироватці або плазмі.,Тироксин (T4) вільний [Маса/об’єм] у Сироватці або Плазмі.,Тироксин (T4) вільний [Маса/об’єм] у Сироватці або Плазмі.,exact,6,
Дискоцити,Гематологія,Асцит,#/uL,Еритроцити [#/об’єм] у перитонеальній рідині.,MCV [Середній об’єм еритроцитів] в еритроцитах за допомогою автоматизованого підрахунку.,MCV [Середній об’єм еритроцитів] в еритроцитах за допомогою автоматизованого підрахунку.,exact,6,
Еритроцити (перитонеальна рідина) [#/об’єм],Гематологія,Асцит,#/uL,Еритроцити [#/об’єм] у перитонеальній рідині.,Еритроцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,Еритроцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,exact,6,
RBCS,Гематологія,Асцит,#/uL,Еритроцити [#/об’єм] у перитонеальній рідині.,MCV [Середній об’єм еритроцитів] в еритроцитах за допомогою автоматизованого підрахунку.,MCV [Середній об’єм еритроцитів] в еритроцитах за допомогою автоматизованого підрахунку.,exact,6,
METD,Хімія,Сеча,,Метадон [наявність] у сечі.,Кокаїн [Виявлено] в сечі.,Кокаїн [Виявлено] в сечі.,exact,6,
Адекватність тромбоцитів,Гематологія,Кров,,Тромбоцити великі [наявність] у крові за допомогою автоматизованого підрахунку.,Тромбоцити [#/volume] у крові за допомогою автоматизованого підрахунку.,Тромбоцити [#/volume] у крові за допомогою автоматизованого підрахунку.,exact,6,
Моноцит,Гематологія,Інша рідина тіла,%,Моноцити/Лейкоцити в рідині тіла за допомогою ручного підрахунку.,MCV [Середній об’єм еритроцитів] в еритроцитах за допомогою автоматизованого підрахунку.,MCV [Середній об’єм еритроцитів] в еритроцитах за допомогою автоматизованого підрахунку.,exact,6,
Антитіла до поверхневого антигену HBV кількісний,Хімія,Кров,,"Антитіла до поверхневого антигену вірусу гепатиту B [Одиниць/об’єму] в сироватці або плазмі, визначені імуноаналізом.",Антиген поверхні вірусу гепатиту B [Виявлено] в сироватці або плазмі за допомогою імуноаналізу.,Антиген поверхні вірусу гепатиту B [Виявлено] в сироватці або плазмі за допомогою імуноаналізу.,exact,6,
Лімфа,Гематологія,Плеври,%,Лімфоцити/Лейкоцити в плевральній рідині.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,6,
HDL-C,Хімія,Кров,mg/dL,Холестерин у ЛПВЩ [Маса/об’єм] у Сироватці або Плазмі,Холестерин [Маса/об’єм] у сироватці або плазмі.,Холестерин [Маса/об’єм] у сироватці або плазмі.,exact,6,
Гранулоцитарні зсуви,Гематологія,Сеча,#/lpf,Зернисті циліндри [#/area] в осаді сечі при мікроскопії в полі зору малого збільшення.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,6,
Макроп,Гематологія,Асцит,%,Макрофаги/Лейкоцити в перитонеальній рідині за допомогою ручного підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,6,
Лейкоцити (рідина черевної порожнини) [#/Vol],Гематологія,Асцит,#/uL,Лейкоцити [#/об’єм] у перитонеальній рідині.,Лейкоцити [#/об’єм] у крові за допомогою ручного підрахунку.,Лейкоцити [#/об’єм] у крові за допомогою ручного підрахунку.,exact,6,
Кількість лейкоцитів # Відсоток,Гематологія,Асцит,#/uL,Лейкоцити [#/об’єм] у перитонеальній рідині.,Лейкоцити [#/об’єм] у крові за допомогою ручного підрахунку.,Лейкоцити [#/об’єм] у крові за допомогою ручного підрахунку.,exact,6,
СерPlКров,Хімія,Кров,,"Барбітурати [наявність] у сироватці, плазмі або крові.",Кров,(no_match),no_match,6,
Наркотичні речовини та препарати,Хімія,Кров,,"Барбітурати [наявність] у сироватці, плазмі або крові.",Кокаїн [Виявлено] в сечі.,Кокаїн [Виявлено] в сечі.,exact,6,
Барб,Хімія,Кров,,"Барбітурати [наявність] у сироватці, плазмі або крові.",Барбітурати [наявність] у сечі.,Барбітурати [наявність] у сечі.,exact,6,
PMN,Гематологія,Спинномозкова рідина (СМР),%,Застарілі Поліморфноядерні клітини/100 лейкоцитів у спинномозковій рідині.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,6,
Фібриноген Frg,Гематологія,Кров,ug/mL,"Фібрин+фрагменти фібриногену [Маса/об’єм] у плазмі, бідній на тромбоцити.","Фібриноген [Маса/об’єм] у плазмі, бідній на тромбоцити, визначений коагуляційним аналізом.","Фібриноген [Маса/об’єм] у плазмі, бідній на тромбоцити, визначений коагуляційним аналізом.",exact,6,
Фактор згортання I,Гематологія,Кров,ug/mL,"Фібрин+фрагменти фібриногену [Маса/об’єм] у плазмі, бідній на тромбоцити.",Згусток факторів згортання крові,(no_match),no_match,6,
FDP,Гематологія,Кров,ug/mL,"Фібрин+фрагменти фібриногену [Маса/об’єм] у плазмі, бідній на тромбоцити.",FDP,(no_match),no_match,6,
Фрагмент,Гематологія,Кров,ug/mL,"Фібрин+фрагменти фібриногену [Маса/об’єм] у плазмі, бідній на тромбоцити.",Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,6,
TDP,Гематологія,Кров,ug/mL,"Фібрин+фрагменти фібриногену [Маса/об’єм] у плазмі, бідній на тромбоцити.",Тромбоцити [#/volume] у крові за допомогою автоматизованого підрахунку.,Тромбоцити [#/volume] у крові за допомогою автоматизованого підрахунку.,exact,6,
Райт Стен,Гематологія,Кров,,Мікроскопічне дослідження [Identifier] тканини за допомогою фарбування за Райтом.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,6,
Аморфний осад LM Ql (Седимент сечі),Гематологія,Сеча,,Аморфний осад [Присутній] у осаді сечі при мікроскопії світлової.,Збір зразка сечі [Час],Збір зразка сечі [Час],exact,6,
Протеїн Ql (Од.),Хімія,Сеча,mg/dL,Білок [наявність] у сечі.,(parse_fail),(no_match),parse_fail,6,"HTTP 429: {
    ""error"": {
        ""message"": ""Rate limit reached for gpt-5-nano in organization org-qODUCuXcX5j40qwOmkqY0ZJU on tokens per min (TPM): Limit 200000, Used 196236, Requested 10487. Please try agai"
PC,Хімія,Кров,mg/dL,Тригліцериди [Маса/об’єм] у сироватці або плазмі -- 12 годин голодування.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,6,
ЛПНЩ,Хімія,Кров,mg/dL,Застарілий Холестерин.в ЛПНЩ [Маса/об’єм] в Сироватці або Плазмі.,Холестерин [Маса/об’єм] у сироватці або плазмі.,Холестерин [Маса/об’єм] у сироватці або плазмі.,exact,6,
Холестерин у ЛПНЩ [Маса/Об’єм],Хімія,Кров,mg/dL,Застарілий Холестерин.в ЛПНЩ [Маса/об’єм] в Сироватці або Плазмі.,Холестерин [Маса/об’єм] у сироватці або плазмі,Холестерин [Маса/об’єм] у сироватці або плазмі.,fuzzy,6,
Базофільні лейкоцити,Гематологія,Кров,,Базофільна зернистість [Наявність] у крові за допомогою світлової мікроскопії.,Базофіли [#/об’єм] у крові за допомогою автоматизованого підрахунку.,Базофіли [#/об’єм] у крові за допомогою автоматизованого підрахунку.,exact,6,
Моноцит,Гематологія,Спинномозкова рідина (СМР),%,Моноцити/Лейкоцити в спинномозковій рідині.,MCV [Середній об’єм еритроцитів] в еритроцитах за допомогою автоматизованого підрахунку.,MCV [Середній об’єм еритроцитів] в еритроцитах за допомогою автоматизованого підрахунку.,exact,6,
Лейкоцити,Гематологія,Інша рідина тіла,#/uL,Лейкоцити [#/об’єм] у рідині тіла.,Лейкоцити [#/об’єм] у крові за допомогою ручного підрахунку.,Лейкоцити [#/об’єм] у крові за допомогою ручного підрахунку.,exact,6,
Швидкість,Хімія,Сеча,,Амфетаміни [Виявлено] в сечі.,Швидкість клубочкової фільтрації [Об’ємна швидкість/Площа] у сироватці або плазмі за формулою на основі креатиніну (MDRD)/1.73 кв. м.,Швидкість клубочкової фільтрації [Об’ємна швидкість/Площа] у сироватці або плазмі за формулою на основі креатиніну (MDRD)/1.73 кв. м.,exact,6,
Масове відношення,Хімія,Сеча,Ratio,Протеїн/Креатинін [Масове співвідношення] в сечі.,Забураний,(no_match),no_match,6,
SAT,Гази крові,Кров,,Сатурація киснем крові,SAT,(no_match),no_match,5,
OP,Хімія,Сеча,,Опіати [Виявлено] в сечі.,Збір зразка сечі [Час],Збір зразка сечі [Час],exact,5,
Опі,Хімія,Сеча,,Опіати [Виявлено] в сечі.,Лужна фосфатаза [Ензиматична активність/об’єм] у сироватці або плазмі.,Лужна фосфатаза [Ензиматична активність/об’єм] у сироватці або плазмі.,exact,5,
Борівки,Хімія,Сеча,,Барбітурати [наявність] у сечі.,Збір зразка сечі [Час],Збір зразка сечі [Час],exact,5,
Лімфоцити,Гематологія,Асцит,%,Лімфоцити/Лейкоцити в перитонеальній рідині,Лімфоцити/Лейкоцити в крові,Лімфоцити/Лейкоцити в крові,exact,5,
Лімфоцити NFr Prt,Гематологія,Асцит,%,Лімфоцити/Лейкоцити в перитонеальній рідині,MCV [Середній об’єм еритроцитів] в еритроцитах за допомогою автоматизованого підрахунку.,MCV [Середній об’єм еритроцитів] в еритроцитах за допомогою автоматизованого підрахунку.,exact,5,
о-Гідроксибензойна кислота,Хімія,Кров,mg/dL,Саліцилати [наявність] у сироватці або плазмі.,Аланінамінотрансфераза [Ензиматична активність/об’єм] у сироватці або плазмі.,Аланінамінотрансфераза [Ензиматична активність/об’єм] у сироватці або плазмі.,exact,5,
RBC,Гематологія,Плеври,#/uL,Еритроцити [#/об’єм] у плевральній рідині.,(parse_fail),(no_match),parse_fail,5,"HTTP 429: {
    ""error"": {
        ""message"": ""Rate limit reached for gpt-5-nano in organization org-qODUCuXcX5j40qwOmkqY0ZJU on tokens per min (TPM): Limit 200000, Used 195881, Requested 10486. Please try agai"
Трициклічні антидепресанти,Хімія,Кров,,Трициклічні антидепресанти [Виявлено] в сироватці або плазмі.,(parse_fail),(no_match),parse_fail,5,"HTTP 429: {
    ""error"": {
        ""message"": ""Rate limit reached for gpt-5-nano in organization org-qODUCuXcX5j40qwOmkqY0ZJU on tokens per min (TPM): Limit 200000, Used 191833, Requested 10497. Please try agai"
Гідроксиацетанілід,Хімія,Кров,ug/mL,Ацетамінофен [наявність] у сироватці або плазмі.,Глюкоза [Маса/об’єм] у крові,Глюкоза [Маса/об’єм] у крові,exact,5,
u209,Хімія,Кров,ug/mL,Ацетамінофен [наявність] у сироватці або плазмі.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,5,
BNP,Хімія,Кров,pg/mL,Натрійуретичний пептид.B прогормон N-кінцевий [Маса/об’єм] у Сироватці або Плазмі.,BNP,(no_match),no_match,5,
Алк,Хімія,Кров,mg/dL,Етанол [наявність] у сироватці або плазмі.,Глюкоза [Маса/об’єм] у крові,Глюкоза [Маса/об’єм] у крові,exact,5,
HDL-C,Хімія,Кров,Ratio,Холестерин.загальний/Холестерин у ЛПВЩ [Перцентиль],Холестерин [Маса/об’єм] у сироватці або плазмі.,Холестерин [Маса/об’єм] у сироватці або плазмі.,exact,5,
Депакен,Хімія,Кров,ug/mL,Вальпроат [Маса/об’єм] у Сироватці або Плазмі,Гематокрит [Об’ємна частка] крові за розрахунком.,Гематокрит [Об’ємна частка] крові за розрахунком.,exact,5,
VALP,Хімія,Кров,ug/mL,Вальпроат [Маса/об’єм] у Сироватці або Плазмі,Гемоглобін [наявність] у сечі за допомогою тест-смужки.,Гемоглобін [наявність] у сечі за допомогою тест-смужки.,exact,5,
Дивальпроекс,Хімія,Кров,ug/mL,Вальпроат [Маса/об’єм] у Сироватці або Плазмі,Вуглекислий газ [парціальний тиск] у крові.,Вуглекислий газ [парціальний тиск] у крові.,exact,5,
Загальний T4,Хімія,Кров,ug/dL,Тироксин (T4) [Маса/об’єм] у сироватці або плазмі.,Глюкоза [Маса/об’єм] у крові,Глюкоза [Маса/об’єм] у крові,exact,5,
Hb,Хімія,Кров,%,Гемоглобін A1c / Гемоглобін.загальний у крові,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,5,
Хлориди (U) [Моль/Об’єм],Хімія,Сеча,mEq/L,Хлориди [Моль/об’єм] у сечі,Хлориди [Моль/об’єм] у Сироватці або Плазмі,Хлориди [Моль/об’єм] у Сироватці або Плазмі,exact,5,
Еоз,Гематологія,Сеча,,Еозинофіли [Наявність] в осаді сечі під світловим мікроскопом.,Еозинофіли [#/об’єм] у крові за допомогою автоматизованого підрахунку.,Еозинофіли [#/об’єм] у крові за допомогою автоматизованого підрахунку.,exact,5,
Еозинофіл,Гематологія,Сеча,,Еозинофіли [Наявність] в осаді сечі під світловим мікроскопом.,Еозинофіли/Лейкоцити в крові,(no_match),no_match,5,
Лімфо,Гематологія,Інша рідина тіла,%,Варіантні лімфоцити/Лейкоцити в рідині тіла.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,5,
Nuc,Гематологія,Кров,%,Ядерні еритроцити [#/об’єм] у крові за допомогою ручного підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,5,
Макроси,Гематологія,Асцит,%,Макрофаги/Лейкоцити в перитонеальній рідині за допомогою ручного підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,5,
WBC,Гематологія,Асцит,#/uL,Лейкоцити [#/об’єм] у перитонеальній рідині.,Лейкоцити [#/об’єм] у крові за допомогою ручного підрахунку.,Лейкоцити [#/об’єм] у крові за допомогою ручного підрахунку.,exact,5,
Барбітурат,Хімія,Кров,,"Барбітурати [наявність] у сироватці, плазмі або крові.",Барбітурати [наявність] у сечі.,Барбітурати [наявність] у сечі.,exact,5,
Полі,Гематологія,Спинномозкова рідина (СМР),%,Застарілі Поліморфноядерні клітини/100 лейкоцитів у спинномозковій рідині.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,5,
Застарілий Поліс/лейкоцити NFr СРЗ,Гематологія,Спинномозкова рідина (СМР),%,Застарілі Поліморфноядерні клітини/100 лейкоцитів у спинномозковій рідині.,Лейкоцити [#/об’єм] у спинномозковій рідині.,Лейкоцити [#/об’єм] в спинномозковій рідині.,fuzzy,5,
Моно,Гематологія,Асцит,%,Моноцити/Лейкоцити в перитонеальній рідині.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,5,
Еритроцити (СМР) [#/об’єм],Гематологія,Спинномозкова рідина (СМР),#/uL,Еритроцити [#/об’єм] у спинномозковій рідині.,Еритроцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,Еритроцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,exact,5,
Враження/інтерпретація дослідження,Хімія,Сеча,,Фракції білка [Інтерпретація] в сечі за допомогою електрофорезу.,(parse_fail),(no_match),parse_fail,5,"HTTP 429: {
    ""error"": {
        ""message"": ""Rate limit reached for gpt-5-nano in organization org-qODUCuXcX5j40qwOmkqY0ZJU on tokens per min (TPM): Limit 200000, Used 197264, Requested 10501. Please try agai"
Алб,Хімія,Асцит,g/dL,Альбумін [Маса/об’єм] у перитонеальній рідині.,Сечова кислота [Маса/об’єм] у сироватці або плазмі,Сечова кислота [Маса/об’єм] у сироватці або плазмі.,fuzzy,5,
Ехіноцити,Гематологія,Кров,,Клітини з шипами [Присутність] у крові за допомогою світлової мікроскопії.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,5,
Стіп,Гематологія,Кров,,Базофільна зернистість [Наявність] у крові за допомогою світлової мікроскопії.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,5,
HCO3,Гази крові,Кров,mEq/L,Бікарбонат [Моль/об'єм] у крові,Натрій [Моль/об’єм] у Сироватці або Плазмі,Натрій [Моль/об’єм] у Сироватці або Плазмі,exact,5,
Бікарбонат,Гази крові,Кров,mEq/L,Бікарбонат [Моль/об'єм] у крові,Бікарбонат [Моль/об’єм] у Сироватці або Плазмі,Бікарбонат [Моль/об’єм] у Сироватці або Плазмі,exact,5,
Лейк,Гематологія,Інша рідина тіла,#/uL,Лейкоцити [#/об’єм] у рідині тіла.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,5,
Моноцити NFr Plr,Гематологія,Плеври,%,Моноцити/Лейкоцити в плевральній рідині.,MCV [Середній об’єм еритроцитів] в еритроцитах за допомогою автоматизованого підрахунку.,MCV [Середній об’єм еритроцитів] в еритроцитах за допомогою автоматизованого підрахунку.,exact,5,
Моноцити/Лейкоцити (рідина плеври),Гематологія,Плеври,%,Моноцити/Лейкоцити в плевральній рідині.,Моноцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,Моноцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,exact,5,
ЛДГ (рідина плевральна) [каталітична активність/об’єм],Хімія,Плеври,IU/L,Лактатдегідрогеназа [Ензиматична активність/об’єм] у плевральній рідині.,Лактатдегідрогеназа [Ензиматична активність/об’єм] у сироватці або плазмі.,Лактатдегідрогеназа [Ензиматична активність/об’єм] у сироватці або плазмі.,exact,5,
КОАГУЛЯЦІЯ,Гематологія,Кров,ng/mL,"Фібрин D-димер FEU [Маса/об’єм] у плазмі, бідній на тромбоцити.",Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,5,
Загальний T3,Хімія,Кров,ng/dL,Трийодтиронін (T3) [Маса/об’єм] у сироватці або плазмі.,Тригліцериди [Маса/об’єм] у сироватці або плазмі,Холестерин [Маса/об’єм] у сироватці або плазмі.,fuzzy,5,
Фракція,Хімія,Кров,,Панель електрофорезу білків - Сироватка або Плазма,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,5,
Протеїн Ельф Пнл,Хімія,Кров,,Панель електрофорезу білків - Сироватка або Плазма,Протеїн [Маса/об’єм] у Сироватці або Плазмі,Пролактин [Маса/об’єм] у сироватці або плазмі.,fuzzy,5,
Амф,Хімія,Сеча,,Амфетаміни [Виявлено] в сечі.,Кокаїн [Виявлено] в сечі.,Кокаїн [Виявлено] в сечі.,exact,5,
Лейк,Гематологія,Плеври,#/uL,Лейкоцити [#/об’єм] у плевральній рідині.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,5,
L.D.H,Хімія,Асцит,IU/L,Лактатдегідрогеназа [Ензиматична активність/об’єм] у перитонеальній рідині.,Аланінамінотрансфераза [Ензиматична активність/об’єм] у сироватці або плазмі.,Аланінамінотрансфераза [Ензиматична активність/об’єм] у сироватці або плазмі.,exact,5,
Лютеїнізуючий гормон,Хімія,Кров,mIU/mL,Лютропін [Маса/об’єм] у сироватці або плазмі --базальний рівень.,Тиреотропін [Одиниць/об’єму] в сироватці або плазмі.,Тиреотропін [Одиниць/об’єму] в сироватці або плазмі.,exact,5,
Креатин,Хімія,Сеча,Ratio,Амілаза/Креатинін [Співвідношення] в сечі,Креатинін [Маса/об’єм] у сироватці або плазмі,Креатинін [Маса/об’єм] у сироватці або плазмі.,fuzzy,5,
Онкологія,Хімія,Кров,U/mL,Раковий антиген 27-29 [Одиниць/об’єму] в сироватці або плазмі.,Кокаїн [Виявлено] в сечі.,Кокаїн [Виявлено] в сечі.,exact,5,
Прот,Хімія,Кров,g/dL,Білок [Маса/об’єм] у сироватці або плазмі.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,5,
Героїн,Хімія,Сеча,,Опіати [Виявлено] в сечі.,Кокаїн [Виявлено] в сечі.,Кокаїн [Виявлено] в сечі.,exact,4,
Лімфо,Гематологія,Асцит,%,Лімфоцити/Лейкоцити в перитонеальній рідині,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,4,
Спадковість,Гематологія,Кров,,Виявлено мутації гену TBX5 [Identifier] у крові або тканині методом молекулярної генетики Номінальний.,Гематологія,(no_match),no_match,4,
Спадковий,Гематологія,Кров,,Виявлено мутації гену TBX5 [Identifier] у крові або тканині методом молекулярної генетики Номінальний.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,4,
Ідентичність або наявність,Гематологія,Кров,,Виявлено мутації гену TBX5 [Identifier] у крові або тканині методом молекулярної генетики Номінальний.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,4,
Мезотеліальна клітина,Гематологія,Плеври,%,Мезотеліальні клітини/Лейкоцити в плевральній рідині.,Гематокрит [Об’ємна частка] крові за розрахунком.,Гематокрит [Об’ємна частка] крові за розрахунком.,exact,4,
Кодоцит,Гематологія,Кров,,Клітини-мішені [Наявність] у крові за допомогою світлової мікроскопії.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,4,
Hb,Хімія,Кров,,Гемоглобін [Маса/об’єм] у крові,Гемоглобін [наявність] у сечі за допомогою тест-смужки.,Гемоглобін [наявність] у сечі за допомогою тест-смужки.,exact,4,
Залежність,Хімія,Кров,ug/mL,Ацетамінофен [наявність] у сироватці або плазмі.,Глюкоза [Маса/об’єм] у спинномозковій рідині.,Глюкоза [Маса/об’єм] у спинномозковій рідині.,exact,4,
Левотироксин,Хімія,Кров,ng/dL,Тироксин (T4) вільний [Маса/об’єм] у Сироватці або Плазмі.,Тироксин (T4) [Маса/об’єм] у Сироватці або Плазмі.,Тироксин (T4) [Маса/об’єм] у сироватці або плазмі.,exact,4,
TT4,Хімія,Кров,ug/dL,Тироксин (T4) [Маса/об’єм] у сироватці або плазмі.,(parse_fail),(no_match),parse_fail,4,"HTTP 429: {
    ""error"": {
        ""message"": ""Rate limit reached for gpt-5-nano in organization org-qODUCuXcX5j40qwOmkqY0ZJU on tokens per min (TPM): Limit 200000, Used 196321, Requested 10482. Please try agai"
Еритроцит,Гематологія,Кров,mm/hr,Швидкість осідання еритроцитів (ШОЕ) у крові за методом Вестергрена.,Еритроцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,Еритроцити [#/об’єм] у крові за допомогою автоматизованого підрахунку.,exact,4,
Гемоглобін,Хімія,Кров,%,Гемоглобін A1c / Гемоглобін.загальний у крові,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,4,
Калій,Хімія,Сеча,mEq/L,Калій [Моль/об’єм] у сечі.,К Potassium,(no_match),no_match,4,
Гепатит Bc,Хімія,Кров,,Застаріле визначення антитіл до core-антигену вірусу гепатиту B [Одиниць/об’єму] в сироватці за допомогою імуноаналізу.,Антиген поверхні вірусу гепатиту B [Виявлено] в сироватці або плазмі за допомогою імуноаналізу.,Антиген поверхні вірусу гепатиту B [Виявлено] в сироватці або плазмі за допомогою імуноаналізу.,exact,4,
антиген ядра HBV,Хімія,Кров,,Застаріле визначення антитіл до core-антигену вірусу гепатиту B [Одиниць/об’єму] в сироватці за допомогою імуноаналізу.,(parse_fail),(no_match),parse_fail,4,"HTTP 429: {
    ""error"": {
        ""message"": ""Rate limit reached for gpt-5-nano in organization org-qODUCuXcX5j40qwOmkqY0ZJU on tokens per min (TPM): Limit 200000, Used 194893, Requested 10491. Please try agai"
Маркер пухлини,Хімія,Кров,pg/mL,Паратирин.intact [Маса/об’єм] у Сироватці або Плазмі,Гематоглобін [наявність] у сечі за допомогою тест-смужки.,Гемоглобін [наявність] у сечі за допомогою тест-смужки.,fuzzy,4,
ПТГ-інтактний,Хімія,Кров,pg/mL,Паратирин.intact [Маса/об’єм] у Сироватці або Плазмі,Гепатит D,(no_match),no_match,4,
Гемоглобін,Гази крові,Кров,%,Метагемоглобін/Загальний гемоглобін у крові.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,4,
Гемoглoбін,Гази крові,Кров,%,Метагемоглобін/Загальний гемоглобін у крові.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,Гематокрит [Об’ємна частка] крові за допомогою автоматизованого підрахунку.,exact,4,
Лейкоцити,Гематологія,Рідка синовіальна рідина,%,Гранулоцити/Лейкоцити в синовіальній рідині,Лейкоцити [#/об’єм] у крові за допомогою ручного підрахунку.,Лейкоцити [#/об’єм] у крові за допомогою ручного підрахунку.,exact,4,
MTD,Хімія,Сеча,,Метадон [наявність] у сечі.,Кокаїн [Виявлено] в сечі.,Кокаїн [Виявлено] в сечі.,exact,4,
Аміноглікозиди,Хімія,Кров,ug/mL,Тобраміцин [Маса/об’єм] у сироватці або плазмі.,Аміноглікозиди,(no_match),no_match,4,
Лімфоцити NFr Plr,Гематологія,Плеври,%,Лімфоцити/Лейкоцити в плевральній рідині.,MCV [Середній об’єм еритроцитів] в еритроцитах за допомогою автоматизованого підрахунку.,MCV [Середній об’єм еритроцитів] в еритроцитах за допомогою автоматизованого підрахунку.,exact,4,
